# ExportDSV: 01/27/17 21:18:00 [ SQL ]
# Data settings:	MODEL	TYPE	NAME	LINEID	POINT	ORIGIN	ANGLE	CLASS
# Query ran: <SELECT * FROM TRACKASSEMBLY_PIECES ORDER BY TYPE ASC, NAME ASC, MODEL ASC, LINEID ASC;>
TRACKASSEMBLY_PIECES	"models/craptrax/curve_cs_std/curve_cs_std_damaged.mdl"	"Battleship's abandoned rails"	"Curve Cs Std Damaged"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curve_cs_std/curve_cs_std_damaged.mdl"	"Battleship's abandoned rails"	"Curve Cs Std Damaged"	2	"NULL"	"-966.40771,127.97242,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curve_cs_std/curve_cs_std_nodamage.mdl"	"Battleship's abandoned rails"	"Curve Cs Std Nodamage"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curve_cs_std/curve_cs_std_nodamage.mdl"	"Battleship's abandoned rails"	"Curve Cs Std Nodamage"	2	"NULL"	"-966.40771,127.97242,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver1/curve_r1_damaged.mdl"	"Battleship's abandoned rails"	"Curve R1 Damaged"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver1/curve_r1_damaged.mdl"	"Battleship's abandoned rails"	"Curve R1 Damaged"	2	"NULL"	"-1060.13232,139.53517,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver1/curve_r1_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R1 Nodamage"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver1/curve_r1_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R1 Nodamage"	2	"NULL"	"-1060.13232,139.53517,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver11/curve_r11_damaged.mdl"	"Battleship's abandoned rails"	"Curve R11 Damaged"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver11/curve_r11_damaged.mdl"	"Battleship's abandoned rails"	"Curve R11 Damaged"	2	"NULL"	"-1086.07532,450.1528,-16.110403"	"0,135,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver11/curve_r11_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R11 Nodamage"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver11/curve_r11_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R11 Nodamage"	2	"NULL"	"-1086.07532,450.1528,-16.110403"	"0,135,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver2/curve_r2_damaged.mdl"	"Battleship's abandoned rails"	"Curve R2 Damaged"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver2/curve_r2_damaged.mdl"	"Battleship's abandoned rails"	"Curve R2 Damaged"	2	"NULL"	"-993.86975,130.8159,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver2/curve_r2_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R2 Nodamage"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver2/curve_r2_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R2 Nodamage"	2	"NULL"	"-993.86975,130.8159,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver3/curve_r3_damaged.mdl"	"Battleship's abandoned rails"	"Curve R3 Damaged"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver3/curve_r3_damaged.mdl"	"Battleship's abandoned rails"	"Curve R3 Damaged"	2	"NULL"	"-927.61951,122.07793,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver3/curve_r3_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R3 Nodamage"	1	"NULL"	"0,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/curver3/curve_r3_nodamage.mdl"	"Battleship's abandoned rails"	"Curve R3 Nodamage"	2	"NULL"	"-927.61951,122.07793,-16.110403"	"0,165,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight1x/straight_1x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 1x Damaged"	1	"NULL"	" 64,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight1x/straight_1x_damaged.mdl"	"Battleship's abandoned rails"	"Straight 1x Damaged"	2	"NULL"	"-64,0,-16.110403"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight1x/straight_1x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 1x Nodamage"	1	"NULL"	" 64,0,-16.110403"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/craptrax/straight1x/straight_1x_nodamage.mdl"	"Battleship's abandoned rails"	"Straight 1x Nodamage"	2	"NULL"	"-64,0,-16.110403"	"0,-180,0"	"NULL"
