# Exported on: 06/07/15 11:35:08
# Table: TRACKASSEMBLY_PHYSPROPERTIES	ROWID	TYPE	NAME
TRACKASSEMBLY_PHYSPROPERTIES	1	Concrete	brick
TRACKASSEMBLY_PHYSPROPERTIES	2	Concrete	concrete
TRACKASSEMBLY_PHYSPROPERTIES	3	Concrete	concrete_block
TRACKASSEMBLY_PHYSPROPERTIES	4	Concrete	gravel
TRACKASSEMBLY_PHYSPROPERTIES	5	Concrete	rock
TRACKASSEMBLY_PHYSPROPERTIES	1	Frozen	snow
TRACKASSEMBLY_PHYSPROPERTIES	2	Frozen	ice
TRACKASSEMBLY_PHYSPROPERTIES	3	Frozen	gmod_ice
TRACKASSEMBLY_PHYSPROPERTIES	1	Liquid	slime
TRACKASSEMBLY_PHYSPROPERTIES	2	Liquid	water
TRACKASSEMBLY_PHYSPROPERTIES	3	Liquid	wade
TRACKASSEMBLY_PHYSPROPERTIES	1	Manufactured	jeeptire
TRACKASSEMBLY_PHYSPROPERTIES	2	Manufactured	jalopytire
TRACKASSEMBLY_PHYSPROPERTIES	3	Manufactured	rubber
TRACKASSEMBLY_PHYSPROPERTIES	4	Manufactured	rubbertire
TRACKASSEMBLY_PHYSPROPERTIES	5	Manufactured	slidingrubbertire
TRACKASSEMBLY_PHYSPROPERTIES	6	Manufactured	slidingrubbertire_front
TRACKASSEMBLY_PHYSPROPERTIES	7	Manufactured	slidingrubbertire_rear
TRACKASSEMBLY_PHYSPROPERTIES	8	Manufactured	brakingrubbertire
TRACKASSEMBLY_PHYSPROPERTIES	9	Manufactured	tile
TRACKASSEMBLY_PHYSPROPERTIES	10	Manufactured	paper
TRACKASSEMBLY_PHYSPROPERTIES	11	Manufactured	papercup
TRACKASSEMBLY_PHYSPROPERTIES	12	Manufactured	cardboard
TRACKASSEMBLY_PHYSPROPERTIES	13	Manufactured	plaster
TRACKASSEMBLY_PHYSPROPERTIES	14	Manufactured	plastic_barrel
TRACKASSEMBLY_PHYSPROPERTIES	15	Manufactured	plastic_barrel_buoyant
TRACKASSEMBLY_PHYSPROPERTIES	16	Manufactured	Plastic_Box
TRACKASSEMBLY_PHYSPROPERTIES	17	Manufactured	plastic
TRACKASSEMBLY_PHYSPROPERTIES	18	Manufactured	glass
TRACKASSEMBLY_PHYSPROPERTIES	19	Manufactured	glassbottle
TRACKASSEMBLY_PHYSPROPERTIES	20	Manufactured	combine_glass
TRACKASSEMBLY_PHYSPROPERTIES	1	Metal	canister
TRACKASSEMBLY_PHYSPROPERTIES	2	Metal	chain
TRACKASSEMBLY_PHYSPROPERTIES	3	Metal	chainlink
TRACKASSEMBLY_PHYSPROPERTIES	4	Metal	combine_metal
TRACKASSEMBLY_PHYSPROPERTIES	5	Metal	crowbar
TRACKASSEMBLY_PHYSPROPERTIES	6	Metal	floating_metal_barrel
TRACKASSEMBLY_PHYSPROPERTIES	7	Metal	grenade
TRACKASSEMBLY_PHYSPROPERTIES	8	Metal	gunship
TRACKASSEMBLY_PHYSPROPERTIES	9	Metal	metal
TRACKASSEMBLY_PHYSPROPERTIES	10	Metal	metal_barrel
TRACKASSEMBLY_PHYSPROPERTIES	11	Metal	metal_bouncy
TRACKASSEMBLY_PHYSPROPERTIES	12	Metal	Metal_Box
TRACKASSEMBLY_PHYSPROPERTIES	13	Metal	metal_seafloorcar
TRACKASSEMBLY_PHYSPROPERTIES	14	Metal	metalgrate
TRACKASSEMBLY_PHYSPROPERTIES	15	Metal	metalpanel
TRACKASSEMBLY_PHYSPROPERTIES	16	Metal	metalvent
TRACKASSEMBLY_PHYSPROPERTIES	17	Metal	metalvehicle
TRACKASSEMBLY_PHYSPROPERTIES	18	Metal	paintcan
TRACKASSEMBLY_PHYSPROPERTIES	19	Metal	popcan
TRACKASSEMBLY_PHYSPROPERTIES	20	Metal	roller
TRACKASSEMBLY_PHYSPROPERTIES	21	Metal	slipperymetal
TRACKASSEMBLY_PHYSPROPERTIES	22	Metal	solidmetal
TRACKASSEMBLY_PHYSPROPERTIES	23	Metal	strider
TRACKASSEMBLY_PHYSPROPERTIES	24	Metal	weapon
TRACKASSEMBLY_PHYSPROPERTIES	1	Miscellaneous	carpet
TRACKASSEMBLY_PHYSPROPERTIES	2	Miscellaneous	ceiling_tile
TRACKASSEMBLY_PHYSPROPERTIES	3	Miscellaneous	computer
TRACKASSEMBLY_PHYSPROPERTIES	4	Miscellaneous	pottery
TRACKASSEMBLY_PHYSPROPERTIES	1	Organic	alienflesh
TRACKASSEMBLY_PHYSPROPERTIES	2	Organic	antlion
TRACKASSEMBLY_PHYSPROPERTIES	3	Organic	armorflesh
TRACKASSEMBLY_PHYSPROPERTIES	4	Organic	bloodyflesh
TRACKASSEMBLY_PHYSPROPERTIES	5	Organic	flesh
TRACKASSEMBLY_PHYSPROPERTIES	6	Organic	foliage
TRACKASSEMBLY_PHYSPROPERTIES	7	Organic	watermelon
TRACKASSEMBLY_PHYSPROPERTIES	8	Organic	zombieflesh
TRACKASSEMBLY_PHYSPROPERTIES	1	Special	default
TRACKASSEMBLY_PHYSPROPERTIES	2	Special	default_silent
TRACKASSEMBLY_PHYSPROPERTIES	3	Special	floatingstandable
TRACKASSEMBLY_PHYSPROPERTIES	4	Special	item
TRACKASSEMBLY_PHYSPROPERTIES	5	Special	ladder
TRACKASSEMBLY_PHYSPROPERTIES	6	Special	no_decal
TRACKASSEMBLY_PHYSPROPERTIES	7	Special	player
TRACKASSEMBLY_PHYSPROPERTIES	8	Special	player_control_clip
TRACKASSEMBLY_PHYSPROPERTIES	1	Terrain	dirt
TRACKASSEMBLY_PHYSPROPERTIES	2	Terrain	grass
TRACKASSEMBLY_PHYSPROPERTIES	3	Terrain	gravel
TRACKASSEMBLY_PHYSPROPERTIES	4	Terrain	mud
TRACKASSEMBLY_PHYSPROPERTIES	5	Terrain	quicksand
TRACKASSEMBLY_PHYSPROPERTIES	6	Terrain	sand
TRACKASSEMBLY_PHYSPROPERTIES	7	Terrain	slipperyslime
TRACKASSEMBLY_PHYSPROPERTIES	8	Terrain	antlionsand
TRACKASSEMBLY_PHYSPROPERTIES	1	Wood	wood
TRACKASSEMBLY_PHYSPROPERTIES	2	Wood	Wood_Box
TRACKASSEMBLY_PHYSPROPERTIES	3	Wood	Wood_Furniture
TRACKASSEMBLY_PHYSPROPERTIES	4	Wood	Wood_Plank
TRACKASSEMBLY_PHYSPROPERTIES	5	Wood	Wood_Panel
TRACKASSEMBLY_PHYSPROPERTIES	6	Wood	Wood_Solid
