#1 ExportDSV:(cl_@PIECES) 24-10-30 22:25:29 [ LUA ]
#2 PIECES:(	MODEL	TYPE	NAME	LINEID	POINT	ORIGIN	ANGLE	CLASS)
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/curve/curve_90_512.mdl"	"AlexCookie's 2ft track pack"	"Curve 90 512"	1	"NULL"	"0,0,13.04688"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/curve/curve_90_512.mdl"	"AlexCookie's 2ft track pack"	"Curve 90 512"	2	"NULL"	"-480,-480,13.04688"	"0,-90,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/misc/end1.mdl"	"AlexCookie's 2ft track pack"	"End1"	1	"NULL"	"0,0,13.04688"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/straight/straight_1024.mdl"	"AlexCookie's 2ft track pack"	"Straight 1024"	1	"NULL"	"1024,0,13.04688"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/straight/straight_1024.mdl"	"AlexCookie's 2ft track pack"	"Straight 1024"	2	"NULL"	"0 ,0,13.04688"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/straight/straight_128.mdl"	"AlexCookie's 2ft track pack"	"Straight 128"	1	"NULL"	"128,0,13.04688"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/straight/straight_128.mdl"	"AlexCookie's 2ft track pack"	"Straight 128"	2	"NULL"	"0 ,0,13.04688"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/straight/straight_256.mdl"	"AlexCookie's 2ft track pack"	"Straight 256"	1	"NULL"	"256,0,13.04688"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/straight/straight_256.mdl"	"AlexCookie's 2ft track pack"	"Straight 256"	2	"NULL"	"0 ,0,13.04688"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/straight/straight_32.mdl"	"AlexCookie's 2ft track pack"	"Straight 32"	1	"NULL"	"32,0,13.04688"	"NULL"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/straight/straight_32.mdl"	"AlexCookie's 2ft track pack"	"Straight 32"	2	"NULL"	"0 ,0,13.04688"	"0,-180,0"	"NULL"
TRACKASSEMBLY_PIECES	"models/alexcookie/2ft/straight/straight_512.mdl"	"AlexCookie's 2ft track pack"	"Straight 512"	1	"NULL"	"512,0,13.04688"	"NULL"	"NULL"
